,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
262,1093873.0,3111884.0,529175.0,2551579.0,897235.0,1593236.0,424862.0,865685.0
263,1093884.0,3136585.0,466260.0,2486520.0,905589.0,1598400.0,425173.0,865503.0
264,1093722.0,3130650.0,516014.0,2552541.0,910071.0,1595936.0,424888.0,866001.0
265,1093828.0,3149712.0,525803.0,2539212.0,908820.0,1591204.0,424957.0,865678.0
266,1093819.0,3127335.0,507357.0,2543968.0,907010.0,1594029.0,425378.0,865510.0
267,1094131.0,3150046.0,508361.0,2517403.0,899784.0,1591527.0,425443.0,865825.0
268,1094252.0,3149171.0,522888.0,2562886.0,902680.0,1587657.0,425042.0,865370.0
269,1093493.0,3139786.0,505512.0,2512225.0,902187.0,1581875.0,424995.0,865650.0
270,1093469.0,3160993.0,535447.0,2535486.0,899982.0,1590816.0,424888.0,865629.0
271,1094741.0,3111424.0,497186.0,2518067.0,904314.0,1597959.0,425378.0,865783.0
272,1093662.0,3154481.0,518658.0,2493470.0,906920.0,1596259.0,424697.0,865999.0
273,1094114.0,3132084.0,546364.0,2564326.0,914748.0,1600111.0,424642.0,865671.0
274,1093369.0,3082473.0,490434.0,2490541.0,909262.0,1591310.0,425125.0,866446.0
275,1095077.0,3137988.0,500297.0,2511982.0,898488.0,1594179.0,425427.0,865888.0
276,1094244.0,3148506.0,538581.0,2566951.0,900377.0,1581796.0,425239.0,866152.0
277,1094936.0,3158433.0,524288.0,2539893.0,898742.0,1596811.0,424576.0,866164.0
278,1093774.0,3125918.0,507363.0,2522143.0,914840.0,1595343.0,424981.0,865401.0
279,1093901.0,3111363.0,502689.0,2479934.0,911186.0,1591489.0,425276.0,866581.0
280,1094727.0,3149649.0,531843.0,2544768.0,900580.0,1592806.0,425529.0,866109.0
281,1094362.0,3130527.0,519500.0,2546459.0,904238.0,1603598.0,425529.0,866528.0
282,1094390.0,3166045.0,568877.0,2547146.0,903927.0,1589575.0,425552.0,866062.0
283,1094703.0,3136867.0,486471.0,2498166.0,900852.0,1586161.0,425333.0,865729.0
284,1093747.0,3135474.0,544415.0,2554591.0,894454.0,1588083.0,424936.0,866190.0
285,1093464.0,3135618.0,522512.0,2515283.0,908774.0,1593635.0,424830.0,864959.0
286,1094290.0,3120855.0,503963.0,2548485.0,908672.0,1601562.0,425592.0,866612.0
287,1092863.0,3126417.0,498045.0,2517261.0,908749.0,1598680.0,424747.0,866087.0
288,1094636.0,3132627.0,507366.0,2527058.0,908577.0,1595246.0,425674.0,865554.0
289,1094481.0,3153847.0,519195.0,2528584.0,903039.0,1585607.0,425248.0,866273.0
290,1094396.0,3126232.0,504354.0,2524740.0,902348.0,1583198.0,425133.0,865942.0
291,1093203.0,3126948.0,529893.0,2535092.0,908440.0,1599764.0,424725.0,865180.0
292,1094111.0,3133765.0,532409.0,2553614.0,912745.0,1601296.0,425165.0,866020.0
293,1093188.0,3124708.0,504202.0,2516819.0,911080.0,1590918.0,424533.0,865616.0
294,1094360.0,3133363.0,501370.0,2530625.0,894759.0,1590303.0,425258.0,866044.0
295,1093919.0,3127943.0,519383.0,2526983.0,909474.0,1591417.0,425020.0,865559.0
296,1093828.0,3147425.0,531086.0,2494173.0,907464.0,1589364.0,425104.0,865840.0
297,1094441.0,3145504.0,528251.0,2552795.0,902596.0,1589373.0,425419.0,866529.0
298,1094602.0,3139467.0,523103.0,2516300.0,901755.0,1586776.0,425275.0,865729.0
299,1094378.0,3140268.0,543289.0,2565286.0,893131.0,1582227.0,425049.0,865666.0
